f0, f1
O, B
M, G
T, X
W, Q
R, A
E, XX
T, H
P, L
H, I
Y, C
S, V
T, N
X, D
M, L
X, A
Z, U
Y, Z
U, T
V, V
U, T
A, XX
F, N
N, B
M, O
L, T
Z, F
G, K
T, L
V, C
S, P
Q, C
Y, F
V, W
Z, E
D, YX
G, E
B, XX
R, E
W, X
P, S
J, M
A, XX
B, YY
R, R
V, H
O, E
J, U
V, Q
B, XX
Q, C
Q, D
T, O
M, P
T, M
T, Z
W, O
F, E
C, XX
H, D
H, G
X, Q
F, K
C, XX
B, YX
J, L
R, F
M, D
K, S
E, XY
D, YY
P, U
G, X
K, D
O, F
Y, P
A, XX
P, A
C, XX
I, U
Z, A
L, P
C, XX
A, XX
E, YX
O, J
B, XX
W, R
M, E
A, XX
I, X
U, T
U, Z
C, YX
V, Z
M, A
G, G
B, XY
V, T
H, U
X, E
D, XX
A, XX
F, P
T, D
T, Y
S, P
H, V
U, M
E, XX
F, E
Q, J
C, XY
M, C
M, V
S, A
Z, D
Y, V
J, O
C, YY
C, XX
C, XY
N, X
C, XX
O, K
T, H
P, N
K, M
L, W
Z, R
D, XX
Z, X
N, H
L, A
T, L
R, Z
Z, C
A, XX
W, D
L, B
K, T
T, Y
T, Y
F, P
S, D
F, I
F, O
N, H
Y, B
E, XX
Z, K
H, E
S, A
B, YX
T, M
Y, D
A, XY
A, XX
F, B
A, XX
G, H
S, K
G, C
A, XX
O, U
Z, D
D, XX
A, XY
W, J
T, Q
V, D
M, Y
T, P
N, U
S, T
Q, K
O, T
H, Z
Y, Y
W, O
M, G
G, B
X, V
Z, N
R, G
D, YY
V, Y
C, YY
W, I
R, O
J, G
N, T
Z, I
Z, E
G, W
A, XX
I, G
K, A
I, Y
P, G
P, S
W, L
D, YY
B, YX
W, S
V, S
O, C
N, X
Q, N
P, T
Z, D
X, D
N, N
B, XX
I, D
F, X
Q, F
I, Y
F, Z
A, XX
E, YY
U, Y
O, I
O, R
Y, Q
U, Z
I, A
R, X
C, YY
M, E
B, XX
A, YY
O, N
L, A
S, T
E, XY
D, XX
Y, L
J, D
R, G
N, J
M, L
T, F
V, X
X, T
I, S
Z, H
E, YX
L, Z
W, H
V, A
Q, I
A, XX
T, Q
F, T
M, D
G, O
K, M
K, E
Y, T
T, D
L, Y
K, Z
N, W
S, K
J, S
K, D
D, XY
Y, Q
L, Z
W, L
W, H
Q, M
V, R
P, Q
J, A
Z, C
N, N
M, H
D, XX
W, V
H, H
K, T
J, D
C, YY
U, L
G, T
J, J
O, E
Z, R
H, H
V, T
C, XX
M, F
O, N
M, A
R, G
F, R
U, N
W, U
S, N
H, U
N, Z
K, W
A, XX
V, Z
E, YX
W, I
R, H
U, E
W, D
K, I
T, N
A, XY
M, C
S, W
K, Z
F, B
S, C
L, V
Q, X
B, YY
H, Y
F, X
M, D
C, XX
T, P
M, Q
K, U
C, XX
K, Y
T, Y
R, Q
T, B
N, C
Q, V
Q, V
I, J
A, YX
F, L
F, N
S, A
X, O
R, V
N, A
D, XX
T, S
M, Y
C, YY
R, C
Q, Z
E, XX
R, W
P, Z
G, M
D, YX
I, F
L, K
W, X
A, XX
O, R
S, J
J, W
N, A
Q, R
H, U
D, XX
Z, E
V, K
A, XY
P, T
O, W
G, R
A, XX
R, J
L, R
G, W
X, J
T, W
D, XX
T, V
X, V
K, A
Y, F
J, Z
Y, Q
T, X
E, XX
S, S
Q, W
P, H
W, N
F, A
X, T
P, V
V, I
F, D
J, B
M, J
U, O
K, H
S, G
R, Y
W, G
O, C
I, V
W, H
M, G
Z, M
V, P
L, Y
I, G
I, T
X, C
O, B
L, M
U, D
P, T
M, C
J, E
W, Q
T, V
M, F
J, D
U, L
T, Z
U, K
M, D
J, L
A, XX
V, M
J, U
T, M
Z, T
M, S
F, M
H, F
A, YX
L, V
V, N
I, L
E, YY
O, I
U, K
N, Z
X, E
N, H
B, XX
G, A
Q, J
F, M
B, XX
F, I
S, Z
K, K
D, XX
F, N
S, V
P, K
R, A
G, X
N, K
R, E
S, U
U, G
J, A
N, V
U, M
P, T
Y, I
W, L
G, A
E, XX
I, L
T, N
W, M
